Nama File,Status Encoding,Codec Video,Codec Audio,Resolution,Frame Rate,Pixel Format,Profile,Audio Sample Rate,File Size,Duration,Faststart,Valid Meta & TikTok (Ya/Tidak),Catatan Error bila ada
Kucing_HD_001.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.10 MB,15.16s,Ya,Ya,None
Kucing_HD_002.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.19 MB,5.55s,Ya,Ya,None
Kucing_HD_003.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.86 MB,10.01s,Ya,Ya,None
Kucing_HD_004.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,30.40 MB,32.90s,Ya,Ya,None
Kucing_HD_005.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,20.57 MB,31.00s,Ya,Ya,None
Kucing_HD_006.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.58 MB,9.50s,Ya,Ya,None
Kucing_HD_007.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.27 MB,7.04s,Ya,Ya,None
Kucing_HD_008.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.97 MB,14.98s,Ya,Ya,None
Kucing_HD_009.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.20 MB,27.14s,Ya,Ya,None
Kucing_HD_010.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.21 MB,11.87s,Ya,Ya,None
Kucing_HD_011.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.82 MB,11.63s,Ya,Ya,None
Kucing_HD_012.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.92 MB,8.34s,Ya,Ya,None
Kucing_HD_013.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,33.37 MB,23.89s,Ya,Ya,None
Kucing_HD_014.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.85 MB,16.32s,Ya,Ya,None
Kucing_HD_015.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.41 MB,11.49s,Ya,Ya,None
Kucing_HD_016.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.06 MB,30.07s,Ya,Ya,None
Kucing_HD_017.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.60 MB,13.49s,Ya,Ya,None
Kucing_HD_018.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.77 MB,25.15s,Ya,Ya,None
Kucing_HD_019.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.89 MB,7.22s,Ya,Ya,None
Kucing_HD_020.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.44 MB,14.10s,Ya,Ya,None
Kucing_HD_021.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,15.10 MB,22.08s,Ya,Ya,None
Kucing_HD_022.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.58 MB,24.50s,Ya,Ya,None
Kucing_HD_023.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.47 MB,18.97s,Ya,Ya,None
Kucing_HD_024.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.39 MB,7.59s,Ya,Ya,None
Kucing_HD_025.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,11.18 MB,9.59s,Ya,Ya,None
Kucing_HD_026.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.29 MB,7.04s,Ya,Ya,None
Kucing_HD_027.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.71 MB,11.87s,Ya,Ya,None
Kucing_HD_028.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.42 MB,6.25s,Ya,Ya,None
Kucing_HD_029.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,44.27 MB,21.65s,Ya,Ya,None
Kucing_HD_030.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.21 MB,10.29s,Ya,Ya,None
Kucing_HD_031.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.69 MB,18.55s,Ya,Ya,None
Kucing_HD_032.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.53 MB,13.35s,Ya,Ya,None
Kucing_HD_033.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.47 MB,12.84s,Ya,Ya,None
Kucing_HD_034.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.02 MB,12.79s,Ya,Ya,None
Kucing_HD_035.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,33.50 MB,47.72s,Ya,Ya,None
Kucing_HD_036.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.10 MB,36.90s,Ya,Ya,None
Kucing_HD_037.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.03 MB,7.46s,Ya,Ya,None
Kucing_HD_038.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.33 MB,11.54s,Ya,Ya,None
Kucing_HD_039.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.99 MB,9.40s,Ya,Ya,None
Kucing_HD_040.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.60 MB,5.09s,Ya,Ya,None
Kucing_HD_041.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.16 MB,7.32s,Ya,Ya,None
Kucing_HD_042.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,52.26 MB,50.46s,Ya,Ya,None
Kucing_HD_043.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.60 MB,10.01s,Ya,Ya,None
